order_date,route_no,from_stop,to_stop,departure_time,travel_date,passengers_booked_index
24-12-2015 00:00,8192,2655,2790,19:00:00,20-02-2016 00:00,1.28547
2/1/2016 0:00,8192,2655,2790,19:00:00,6/2/2016 0:00,0.6426
26-12-2015 00:00,8192,2655,2790,19:00:00,6/2/2016 0:00,0.6426
13-03-2016 00:00,8192,2655,2790,19:00:00,12/5/2016 0:00,1.92834
25-03-2016 00:00,8192,2655,2790,19:00:00,12/5/2016 0:00,0.6426
30-12-2015 00:00,8192,2655,2790,19:00:00,30-01-2016 00:00,1.28547
27-12-2015 00:00,8192,2655,2790,19:00:00,30-01-2016 00:00,0.6426
24-12-2015 00:00,8192,2655,2790,19:00:00,30-01-2016 00:00,0.6426
16-12-2015 00:00,8192,2655,2790,19:00:00,16-01-2016 00:00,0.6426
3/11/2015 0:00,8192,2655,2790,19:00:00,4/12/2015 0:00,3.21408
8/12/2015 0:00,8192,2655,2790,19:00:00,9/1/2016 0:00,0.6426
13-10-2015 00:00,8192,2655,2790,19:00:00,23-10-2015 00:00,1.28547
28-01-2016 00:00,8192,2655,2790,19:00:00,10/3/2016 0:00,1.28547
15-10-2015 00:00,8192,2655,2790,19:00:00,16-10-2015 00:00,0.6426
29-11-2015 00:00,9288,2655,2790,18:30:00,28-01-2016 00:00,3.21408
18-10-2015 00:00,8192,2655,2790,19:00:00,14-11-2015 00:00,0.6426
10/10/2015 0:00,8192,2655,2790,19:00:00,16-10-2015 00:00,6.42843
9/10/2015 0:00,8192,2655,2790,19:00:00,28-11-2015 00:00,2.57121
8/10/2015 0:00,8192,2655,2790,19:00:00,23-10-2015 00:00,0.6426
9/10/2015 0:00,8192,2655,2790,19:00:00,23-10-2015 00:00,1.28547
7/10/2015 0:00,8192,2655,2790,19:00:00,16-10-2015 00:00,1.92834
10/10/2015 0:00,8192,2655,2790,19:00:00,4/12/2015 0:00,1.28547
6/10/2015 0:00,8192,2655,2790,19:00:00,23-10-2015 00:00,0.6426
22-10-2015 00:00,8192,2655,2790,19:00:00,28-11-2015 00:00,1.28547
12/10/2015 0:00,9288,2655,2790,18:30:00,14-10-2015 00:00,1.92834
11/10/2015 0:00,9288,2655,2790,18:30:00,14-10-2015 00:00,4.49982
1/12/2015 0:00,9288,2655,2790,18:30:00,14-01-2016 00:00,0.6426
16-11-2015 00:00,9288,2655,2790,18:30:00,14-01-2016 00:00,0.6426
8/12/2015 0:00,9288,2655,2790,18:30:00,14-01-2016 00:00,0.6426
15-01-2016 00:00,9288,2655,2790,18:30:00,25-02-2016 00:00,0.6426
10/10/2015 0:00,9288,2655,2790,18:30:00,14-10-2015 00:00,3.21408
28-10-2015 00:00,9288,2655,2790,18:30:00,2/12/2015 0:00,0.6426
16-11-2015 00:00,8192,2655,2790,19:00:00,18-12-2015 00:00,1.28547
19-10-2015 00:00,8192,2655,2790,19:00:00,18-12-2015 00:00,1.28547
21-10-2015 00:00,8192,2655,2790,19:00:00,18-12-2015 00:00,1.28547
9/11/2015 0:00,8192,2655,2790,19:00:00,18-12-2015 00:00,0.6426
14-10-2015 00:00,8192,2655,2790,19:00:00,30-10-2015 00:00,2.57121
23-10-2015 00:00,9288,2655,2790,18:30:00,26-11-2015 00:00,1.28547
15-01-2016 00:00,9288,2655,2790,18:30:00,18-02-2016 00:00,0.6426
8/12/2015 0:00,8192,2655,2790,19:00:00,23-01-2016 00:00,0.6426
19-02-2016 00:00,8192,2655,2790,19:00:00,24-03-2016 00:00,0.6426
30-10-2015 00:00,8192,2655,2790,19:00:00,30-10-2015 00:00,5.78556
2/11/2015 0:00,9288,2655,2790,18:30:00,5/11/2015 0:00,3.85695
14-10-2015 00:00,9288,2655,2790,18:30:00,14-10-2015 00:00,5.78556
22-01-2016 00:00,8192,2655,2790,19:00:00,3/3/2016 0:00,0.6426
2/11/2015 0:00,8192,2655,2790,19:00:00,7/11/2015 0:00,0.6426
15-10-2015 00:00,9288,2655,2790,18:30:00,21-10-2015 00:00,0.6426
4/11/2015 0:00,9288,2655,2790,18:30:00,5/11/2015 0:00,6.42843
5/11/2015 0:00,9288,2655,2790,18:30:00,19-11-2015 00:00,1.92834
6/11/2015 0:00,8192,2655,2790,19:00:00,7/11/2015 0:00,2.57121
21-10-2015 00:00,9288,2655,2790,18:30:00,21-10-2015 00:00,11.57139
20-10-2015 00:00,9288,2655,2790,18:30:00,28-10-2015 00:00,1.92834
21-10-2015 00:00,9288,2655,2790,18:30:00,28-10-2015 00:00,1.28547
22-10-2015 00:00,9288,2655,2790,18:30:00,28-10-2015 00:00,1.28547
23-10-2015 00:00,8192,2655,2790,19:00:00,7/11/2015 0:00,1.28547
24-10-2015 00:00,9288,2655,2790,18:30:00,28-10-2015 00:00,3.85695
9/11/2015 0:00,8192,2655,2790,19:00:00,21-11-2015 00:00,1.92834
10/11/2015 0:00,8192,2655,2790,19:00:00,21-11-2015 00:00,1.28547
23-10-2015 00:00,9288,2655,2790,18:30:00,16-12-2015 00:00,1.92834
19-11-2015 00:00,9288,2655,2790,18:30:00,16-12-2015 00:00,0.6426
11/1/2016 0:00,8192,2655,2790,19:00:00,13-02-2016 00:00,2.57121
30-10-2015 00:00,9288,2655,2790,18:30:00,12/11/2015 0:00,1.28547
7/2/2016 0:00,9288,2655,2790,18:30:00,22-03-2016 00:00,0.6426
24-10-2015 00:00,9288,2655,2790,18:30:00,23-12-2015 00:00,0.6426
6/11/2015 0:00,9288,2655,2790,18:30:00,23-12-2015 00:00,0.6426
14-10-2015 00:00,9288,2655,2790,18:30:00,23-12-2015 00:00,1.28547
13-11-2015 00:00,8192,2655,2790,19:00:00,25-12-2015 00:00,0.6426
14-10-2015 00:00,9288,2655,2790,18:30:00,21-10-2015 00:00,0.6426
16-11-2015 00:00,8192,2655,2790,19:00:00,21-11-2015 00:00,0.6426
18-02-2016 00:00,8192,2655,2790,19:00:00,17-03-2016 00:00,1.28547
9/2/2016 0:00,8192,2655,2790,19:00:00,17-03-2016 00:00,2.57121
5/1/2016 0:00,9288,2655,2790,18:30:00,4/2/2016 0:00,0.6426
29-12-2015 00:00,9288,2655,2790,18:30:00,4/2/2016 0:00,2.57121
8/4/2016 0:00,8192,2655,2790,19:00:00,5/5/2016 0:00,1.28547
5/11/2015 0:00,8192,2655,2790,19:00:00,7/11/2015 0:00,5.78556
30-10-2015 00:00,8192,2655,2790,19:00:00,7/11/2015 0:00,0.6426
19-11-2015 00:00,9288,2655,2790,18:30:00,19-11-2015 00:00,7.0713
21-11-2015 00:00,8192,2655,2790,19:00:00,21-11-2015 00:00,7.0713
22-11-2015 00:00,9288,2655,2790,18:30:00,26-11-2015 00:00,2.57121
22-03-2016 00:00,8192,2655,2790,19:00:00,22-04-2016 00:00,0.6426
4/3/2016 0:00,8192,2655,2790,19:00:00,22-04-2016 00:00,0.6426
18-03-2016 00:00,8192,2655,2790,19:00:00,22-04-2016 00:00,1.28547
8/11/2015 0:00,9288,2655,2790,18:30:00,19-11-2015 00:00,2.57121
11/11/2015 0:00,8192,2655,2790,19:00:00,14-11-2015 00:00,1.28547
12/4/2016 0:00,8192,2655,2790,19:00:00,10/6/2016 0:00,1.28547
1/5/2016 0:00,8192,2655,2790,19:00:00,10/6/2016 0:00,0.6426
21-10-2015 00:00,8192,2655,2790,19:00:00,30-10-2015 00:00,1.92834
