id_code,current_date,current_time,source_name,destination_name,train_name,target,country_code_source,longitude_source,latitude_source,mean_halt_times_source,country_code_destination,longitude_destination,latitude_destination,mean_halt_times_destination,current_year,current_week,current_day,is_weekend
isfywypmkqqhyft,2016-07-27,08:05:51 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
mqsfxyvuqpbwomk,2016-07-27,08:06:11 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
alspwwtbdvqsgby,2016-07-27,08:08:57 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
szitxhhqduyrqpg,2016-07-27,08:09:08 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
krisdqzczivvwcp,2016-07-27,08:11:01 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
orrnrrynwpmcxmm,2016-07-27,08:11:50 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
raoheuoxqijqxcz,2016-07-27,08:12:47 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
huhiqfxnerbedmq,2016-07-27,08:13:23 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
igqcnhdcmejjkah,2016-07-27,08:15:38 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
taxcjmdnymvsvva,2016-07-27,08:16:51 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
iyrunojfqadprqn,2016-07-27,08:17:16 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
fdlwpgqbqztqmny,2016-07-27,08:17:35 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
genhqsuixtbalgn,2016-07-27,08:20:30 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
audodbuisusyefw,2016-07-27,08:22:16 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
yubyiyfztgkynzv,2016-07-27,08:22:32 PM,station$147,station$1,UNDEFINED,medium,whber,4.356801,50.845658,634.16473988439,,,,,2016,30,Wednesday,False
