id_code,mean_halt_times_destination,mean_halt_times_source,dist_bw_routes,current_day_11,current_day_17,current_day_18,current_day_19,current_day_21,current_day_23,current_day_26,current_day_27,current_day_28,current_day_29,current_month_10,current_month_7,current_month_8,current_month_9,current_week_30,current_week_31,current_week_32,current_week_37,current_week_38,current_week_39,current_week_40,current_week_41,current_week_42,current_week_43,destination_name_station$130,destination_name_station$147,destination_name_station$150,destination_name_station$178,destination_name_station$185,destination_name_station$214,destination_name_station$266,destination_name_station$525,destination_name_station$544,destination_name_station$632,hour_of_day_10,hour_of_day_12,hour_of_day_15,hour_of_day_16,hour_of_day_17,hour_of_day_18,hour_of_day_20,hour_of_day_7,hour_of_day_8,hour_of_day_9,is_test_data,is_weekend_False,is_weekend_True,source_name_station$130,source_name_station$147,source_name_station$150,source_name_station$178,source_name_station$185,source_name_station$214,source_name_station$241,source_name_station$266,source_name_station$525,source_name_station$544,train_name_ICVXR,train_name_ICWAT,train_name_ICWYR,train_name_ICXUXZ,train_name_ICZSAT,train_name_ICZSXZ,train_name_ICZVZS,train_name_ICZVZV,train_name_PTWWW,train_name_PTXAV,target
isfywypmkqqhyft,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
mqsfxyvuqpbwomk,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
alspwwtbdvqsgby,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
szitxhhqduyrqpg,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
krisdqzczivvwcp,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
orrnrrynwpmcxmm,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
raoheuoxqijqxcz,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
huhiqfxnerbedmq,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,high
igqcnhdcmejjkah,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
taxcjmdnymvsvva,-0.4512224055437073,1.5868776582604884,-0.721707364372379,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
